sortNumber;code;officialTitle;mediumTitle;shortTitle
1;SK010;Bratislavsky kraj;Bratislavsky kraj;Bratislavsky kraj
2;SK021;Trnavsky kraj;Trnavsky kraj;Trnavsky kraj
3;SK022;Trenciansky kraj;Trenciansky kraj;Trenciansky kraj
4;SK023;Nitriansky kraj;Nitriansky kraj;Nitriansky kraj
5;SK031;Zilinsky kraj;Zilinsky kraj;Zilinsky kraj
6;SK032;Banskobystricky kraj;Banskobystricky kraj;Banskobystricky kraj
7;SK041;Presovsky kraj;Presovsky kraj;Presovsky kraj
8;SK042;Kosicky kraj;Kosicky kraj;Kosicky kraj
