sortNumber;code;officialTitle;mediumTitle;shortTitle
1691;SK0328526304;Sivetice;Sivetice;Sivetice
1692;SK0328526321;Turcok;Turcok;Turcok
1693;SK0328557820;Sasa;Sasa;Sasa
1694;SK0328580384;Mokra Luka;Mokra Luka;Mokra Luka
1695;SK0329514462;Rimavska Sobota;Rimavska Sobota;Rimavska Sobota
1696;SK0329514489;Babinec;Babinec;Babinec
1697;SK0329514501;Barca;Barca;Barca
1698;SK0329514519;Batka;Batka;Batka
1699;SK0329514535;Belin;Belin;Belin
1700;SK0329514543;Blhovce;Blhovce;Blhovce
1701;SK0329514551;Bottovo;Bottovo;Bottovo
1702;SK0329514586;Budikovany;Budikovany;Budikovany
1703;SK0329514594;Cakov;Cakov;Cakov
1704;SK0329514608;Cerencany;Cerencany;Cerencany
1705;SK0329514616;Cierny Potok;Cierny Potok;Cierny Potok
1706;SK0329514624;Ciz;Ciz;Ciz
1707;SK0329514632;Dolne Zahorany;Dolne Zahorany;Dolne Zahorany
1708;SK0329514641;Drazice;Drazice;Drazice
1709;SK0329514659;Driencany;Driencany;Driencany
1710;SK0329514667;Drna;Drna;Drna
1711;SK0329514683;Dubno;Dubno;Dubno
1712;SK0329514691;Dubovec;Dubovec;Dubovec
1713;SK0329514713;Figa;Figa;Figa
1714;SK0329514730;Gemercek;Gemercek;Gemercek
1715;SK0329514764;Gemerske Dechtare;Gemerske Dechtare;Gemerske Dechtare
1716;SK0329514781;Gemersky Jablonec;Gemersky Jablonec;Gemersky Jablonec
1717;SK0329514799;Gortva;Gortva;Gortva
1718;SK0329514811;Hajnacka;Hajnacka;Hajnacka
1719;SK0329514829;Hnusta;Hnusta;Hnusta
1720;SK0329514837;Hodejov;Hodejov;Hodejov
1721;SK0329514845;Hodejovec;Hodejovec;Hodejovec
1722;SK0329514853;Horne Zahorany;Horne Zahorany;Horne Zahorany
1723;SK0329514861;Hostice;Hostice;Hostice
1724;SK0329514870;Hostisovce;Hostisovce;Hostisovce
1725;SK0329514888;Hrachovo;Hrachovo;Hrachovo
1726;SK0329514926;Hrusovo;Hrusovo;Hrusovo
1727;SK0329514934;Hubovo;Hubovo;Hubovo
1728;SK0329514942;Husina;Husina;Husina
1729;SK0329514951;Chanava;Chanava;Chanava
1730;SK0329514969;Chramec;Chramec;Chramec
1731;SK0329514985;Ivanice;Ivanice;Ivanice
1732;SK0329514993;Janice;Janice;Janice
1733;SK0329515001;Jesenske;Jesenske;Jesenske
1734;SK0329515019;Jestice;Jestice;Jestice
1735;SK0329515027;Kalosa;Kalosa;Kalosa
1736;SK0329515035;Kesovce;Kesovce;Kesovce
1737;SK0329515043;Klenovec;Klenovec;Klenovec
1738;SK0329515051;Kociha;Kociha;Kociha
1739;SK0329515060;Konradovce;Konradovce;Konradovce
1740;SK0329515078;Kral;Kral;Kral
1741;SK0329515086;Kraskovo;Kraskovo;Kraskovo
1742;SK0329515094;Krokava;Krokava;Krokava
1743;SK0329515108;Kruzno;Kruzno;Kruzno
1744;SK0329515116;Kyjatice;Kyjatice;Kyjatice
1745;SK0329515124;Lehota nad Rimavicou;Lehota nad Rimavicou;Lehota nad Rimavicou
1746;SK0329515132;Lenartovce;Lenartovce;Lenartovce
1747;SK0329515141;Lenka;Lenka;Lenka
1748;SK0329515167;Lipovec;Lipovec;Lipovec
1749;SK0329515175;Lukovistia;Lukovistia;Lukovistia
1750;SK0329515183;Martinova;Martinova;Martinova
1751;SK0329515205;Neporadza;Neporadza;Neporadza
1752;SK0329515230;Nova Basta;Nova Basta;Nova Basta
1753;SK0329515248;Oravka;Oravka;Oravka
1754;SK0329515264;Ozdany;Ozdany;Ozdany
1755;SK0329515272;Padarovce;Padarovce;Padarovce
1756;SK0329515281;Pavlovce;Pavlovce;Pavlovce
1757;SK0329515299;Petrovce;Petrovce;Petrovce
1758;SK0329515337;Poproc;Poproc;Poproc
1759;SK0329515345;Potok;Potok;Potok
1760;SK0329515353;Radnovce;Radnovce;Radnovce
1761;SK0329515388;Ratkovska Lehota;Ratkovska Lehota;Ratkovska Lehota
1762;SK0329515396;Ratkovska Sucha;Ratkovska Sucha;Ratkovska Sucha
1763;SK0329515426;Rimavska Bana;Rimavska Bana;Rimavska Bana
1764;SK0329515442;Rimavska Sec;Rimavska Sec;Rimavska Sec
1765;SK0329515451;Rimavske Brezovo;Rimavske Brezovo;Rimavske Brezovo
1766;SK0329515469;Rimavske Janovce;Rimavske Janovce;Rimavske Janovce
1767;SK0329515485;Rovne;Rovne;Rovne
1768;SK0329515493;Rumince;Rumince;Rumince
1769;SK0329515531;Slizke;Slizke;Slizke
1770;SK0329515540;Stara Basta;Stara Basta;Stara Basta
1771;SK0329515566;Stranska;Stranska;Stranska
1772;SK0329515582;Studena;Studena;Studena
1773;SK0329515604;Sutor;Sutor;Sutor
1774;SK0329515621;Simonovce;Simonovce;Simonovce
1775;SK0329515639;Sirkovce;Sirkovce;Sirkovce
1776;SK0329515647;Spanie Pole;Spanie Pole;Spanie Pole
1777;SK0329515655;Strkovec;Strkovec;Strkovec
1778;SK0329515663;Tachty;Tachty;Tachty
1779;SK0329515671;Teply Vrch;Teply Vrch;Teply Vrch
1780;SK0329515680;Tisovec;Tisovec;Tisovec
1781;SK0329515698;Tomasovce;Tomasovce;Tomasovce
1782;SK0329515701;Uzovska Panica;Uzovska Panica;Uzovska Panica
1783;SK0329515710;Vcelince;Vcelince;Vcelince
1784;SK0329515728;Vecelkov;Vecelkov;Vecelkov
1785;SK0329515736;Velke Teriakovce;Velke Teriakovce;Velke Teriakovce
1786;SK0329515744;Velky Blh;Velky Blh;Velky Blh
1787;SK0329515752;Vieska nad Blhom;Vieska nad Blhom;Vieska nad Blhom
1788;SK0329515779;Vlkyna;Vlkyna;Vlkyna
1789;SK0329515795;Valice;Valice;Valice
1790;SK0329515809;Vysny Skalnik;Vysny Skalnik;Vysny Skalnik
1791;SK0329515817;Zador;Zador;Zador
1792;SK0329515841;Zip;Zip;Zip
1793;SK0329557757;Abovce;Abovce;Abovce
1794;SK0329557765;Riecka;Riecka;Riecka
1795;SK0329557790;Nizny Skalnik;Nizny Skalnik;Nizny Skalnik
1796;SK0329557811;Rimavske Zaluzany;Rimavske Zaluzany;Rimavske Zaluzany
1797;SK0329557854;Rakytnik;Rakytnik;Rakytnik
1798;SK0329557889;Gemerske Michalovce;Gemerske Michalovce;Gemerske Michalovce
1799;SK0329557901;Vysne Valice;Vysne Valice;Vysne Valice
1800;SK0329557919;Dulovo;Dulovo;Dulovo
1801;SK0329557927;Zacharovce;Zacharovce;Zacharovce
1802;SK041A526665;Stara Lubovna;Stara Lubovna;Stara Lubovna
1803;SK041A526673;Circ;Circ;Circ
1804;SK041A526681;Durkova;Durkova;Durkova
1805;SK041A526690;Forbasy;Forbasy;Forbasy
1806;SK041A526703;Hajtovka;Hajtovka;Hajtovka
1807;SK041A526711;Haligovce;Haligovce;Haligovce
1808;SK041A526720;Hniezdne;Hniezdne;Hniezdne
1809;SK041A526738;Hranicne;Hranicne;Hranicne
1810;SK041A526746;Hromos;Hromos;Hromos
1811;SK041A526754;Chmelnica;Chmelnica;Chmelnica
1812;SK041A526762;Jakubany;Jakubany;Jakubany
1813;SK041A526771;Jarabina;Jarabina;Jarabina
1814;SK041A526789;Kamienka;Kamienka;Kamienka
1815;SK041A526797;Kolackov;Kolackov;Kolackov
1816;SK041A526801;Kremna;Kremna;Kremna
1817;SK041A526819;Kyjov;Kyjov;Kyjov
1818;SK041A526827;Lackova;Lackova;Lackova
1819;SK041A526835;Legnava;Legnava;Legnava
1820;SK041A526843;Lesnica;Lesnica;Lesnica
1821;SK041A526851;Litmanova;Litmanova;Litmanova
1822;SK041A526860;Lomnicka;Lomnicka;Lomnicka
1823;SK041A526878;Lubotin;Lubotin;Lubotin
1824;SK041A526886;Maly Lipnik;Maly Lipnik;Maly Lipnik
1825;SK041A526894;Matysova;Matysova;Matysova
1826;SK041A526908;Mnisek nad Popradom;Mnisek nad Popradom;Mnisek nad Popradom
1827;SK041A526916;Nizne Ruzbachy;Nizne Ruzbachy;Nizne Ruzbachy
1828;SK041A526924;Nova Lubovna;Nova Lubovna;Nova Lubovna
1829;SK041A526932;Obrucne;Obrucne;Obrucne
1830;SK041A526941;Orlov;Orlov;Orlov
1831;SK041A526959;Plavec;Plavec;Plavec
1832;SK041A526967;Plavnica;Plavnica;Plavnica
1833;SK041A526975;Podolinec;Podolinec;Podolinec
1834;SK041A526983;Puste Pole;Puste Pole;Puste Pole
1835;SK041A526991;Ruska Vola nad Popradom;Ruska Vola nad Popradom;Ruska Vola nad Popradom
1836;SK041A527009;Starina;Starina;Starina
1837;SK041A527017;Stranany;Stranany;Stranany
1838;SK041A527025;Sulin;Sulin;Sulin
1839;SK041A527033;Sambron;Sambron;Sambron
1840;SK041A527041;Sarisske Jastrabie;Sarisske Jastrabie;Sarisske Jastrabie
1841;SK041A527050;Udol;Udol;Udol
1842;SK041A527068;Velka Lesna;Velka Lesna;Velka Lesna
1843;SK041A527076;Velky Lipnik;Velky Lipnik;Velky Lipnik
1844;SK041A527084;Vislanka;Vislanka;Vislanka
1845;SK041A527092;Vysne Ruzbachy;Vysne Ruzbachy;Vysne Ruzbachy
1846;SK041B527114;Bana;Bana;Bana
1847;SK041B527157;Breznica;Breznica;Breznica
1848;SK041B527165;Breznicka;Breznicka;Breznicka
1849;SK041B527173;Brusnica;Brusnica;Brusnica
1850;SK041B527181;Bukovce;Bukovce;Bukovce
1851;SK041B527190;Bystra;Bystra;Bystra
1852;SK041B527203;Bzany;Bzany;Bzany
1853;SK041B527262;Duplin;Duplin;Duplin
1854;SK041B527289;Gribov;Gribov;Gribov
1855;SK041B527297;Havaj;Havaj;Havaj
1856;SK041B527335;Chotca;Chotca;Chotca
1857;SK041B527343;Jakusovce;Jakusovce;Jakusovce
1858;SK041B527386;Kolbovce;Kolbovce;Kolbovce
1859;SK041B527408;Korunkova;Korunkova;Korunkova
1860;SK041B527416;Kozuchovce;Kozuchovce;Kozuchovce
1861;SK041B527467;Krislovce;Krislovce;Krislovce
1862;SK041B527475;Krusinec;Krusinec;Krusinec
1863;SK041B527513;Lomne;Lomne;Lomne
1864;SK041B527521;Makovce;Makovce;Makovce
1865;SK041B527530;Mala Polana;Mala Polana;Mala Polana
1866;SK041B527572;Mikova;Mikova;Mikova
1867;SK041B527581;Minovce;Minovce;Minovce
1868;SK041B527611;Mrazovce;Mrazovce;Mrazovce
1869;SK041B527637;Nizna Olsava;Nizna Olsava;Nizna Olsava
1870;SK041B527700;Olsavka;Olsavka;Olsavka
1871;SK041B527718;Potocky;Potocky;Potocky
1872;SK041B527726;Potoky;Potoky;Potoky
1873;SK041B527793;Krucov;Krucov;Krucov
1874;SK041B527815;Solnik;Solnik;Solnik
1875;SK041B527823;Staskovce;Staskovce;Staskovce
1876;SK041B527840;Stropkov;Stropkov;Stropkov
1877;SK041B527866;Sandal;Sandal;Sandal
1878;SK041B527912;Tisinec;Tisinec;Tisinec
1879;SK041B527921;Tokajik;Tokajik;Tokajik
1880;SK041B527939;Turany nad Ondavou;Turany nad Ondavou;Turany nad Ondavou
1881;SK041B527971;Varechovce;Varechovce;Varechovce
1882;SK041B527980;Velkrop;Velkrop;Velkrop
1883;SK041B527998;Vislava;Vislava;Vislava
1884;SK041B528005;Vladica;Vladica;Vladica
1885;SK041B528013;Vojtovce;Vojtovce;Vojtovce
1886;SK041B528021;Vyskovce;Vyskovce;Vyskovce
1887;SK041B528048;Vysna Olsava;Vysna Olsava;Vysna Olsava
1888;SK041B560073;Vysny Hrabovec;Vysny Hrabovec;Vysny Hrabovec
1889;SK041C519197;Giraltovce;Giraltovce;Giraltovce
1890;SK041C519316;Kalniste;Kalniste;Kalniste
1891;SK041C519332;Kobylnice;Kobylnice;Kobylnice
1892;SK041C519391;Kracunovce;Kracunovce;Kracunovce
1893;SK041C519448;Kukova;Kukova;Kukova
1894;SK041C519537;Lucka;Lucka;Lucka
1895;SK041C519561;Luzany pri Topli;Luzany pri Topli;Luzany pri Topli
1896;SK041C519596;Micakovce;Micakovce;Micakovce
1897;SK041C519987;Zeleznik;Zeleznik;Zeleznik
1898;SK041C519995;Zelmanovce;Zelmanovce;Zelmanovce
1899;SK041C527106;Svidnik;Svidnik;Svidnik
1900;SK041C527122;Belejovce;Belejovce;Belejovce
1901;SK041C527131;Benadikovce;Benadikovce;Benadikovce
1902;SK041C527149;Bodruzal;Bodruzal;Bodruzal
1903;SK041C527211;Cernina;Cernina;Cernina
1904;SK041C527220;Cigla;Cigla;Cigla
1905;SK041C527238;Dlhona;Dlhona;Dlhona
1906;SK041C527246;Dobroslava;Dobroslava;Dobroslava
1907;SK041C527254;Dubova;Dubova;Dubova
1908;SK041C527271;Fijas;Fijas;Fijas
1909;SK041C527301;Havranec;Havranec;Havranec
1910;SK041C527319;Hrabovcik;Hrabovcik;Hrabovcik
1911;SK041C527327;Hunkovce;Hunkovce;Hunkovce
1912;SK041C527351;Jurkova Vola;Jurkova Vola;Jurkova Vola
1913;SK041C527360;Kapisova;Kapisova;Kapisova
1914;SK041C527378;Keckovce;Keckovce;Keckovce
1915;SK041C527394;Korejovce;Korejovce;Korejovce
1916;SK041C527424;Krajna Bystra;Krajna Bystra;Krajna Bystra
1917;SK041C527432;Krajna Polana;Krajna Polana;Krajna Polana
1918;SK041C527441;Krajna Porubka;Krajna Porubka;Krajna Porubka
1919;SK041C527459;Krajne Cierno;Krajne Cierno;Krajne Cierno
1920;SK041C527483;Kruzlova;Kruzlova;Kruzlova
1921;SK041C527491;Kurimka;Kurimka;Kurimka
1922;SK041C527505;Ladomirova;Ladomirova;Ladomirova
1923;SK041C527548;Matovce;Matovce;Matovce
1924;SK041C527556;Medvedie;Medvedie;Medvedie
1925;SK041C527564;Mestisko;Mestisko;Mestisko
1926;SK041C527599;Mirola;Mirola;Mirola
1927;SK041C527602;Mlynarovce;Mlynarovce;Mlynarovce
1928;SK041C527629;Nizna Jedlova;Nizna Jedlova;Nizna Jedlova
1929;SK041C527645;Nizna Pisana;Nizna Pisana;Nizna Pisana
1930;SK041C527653;Nizny Komarnik;Nizny Komarnik;Nizny Komarnik
1931;SK041C527661;Nizny Mirosov;Nizny Mirosov;Nizny Mirosov
1932;SK041C527670;Nizny Orlik;Nizny Orlik;Nizny Orlik
1933;SK041C527688;Nova Polianka;Nova Polianka;Nova Polianka
1934;SK041C527696;Okruhle;Okruhle;Okruhle
1935;SK041C527734;Prikra;Prikra;Prikra
1936;SK041C527742;Pstrina;Pstrina;Pstrina
1937;SK041C527751;Radoma;Radoma;Radoma
1938;SK041C527769;Rakovcik;Rakovcik;Rakovcik
1939;SK041C527777;Rovne;Rovne;Rovne
1940;SK041C527785;Roztoky;Roztoky;Roztoky
1941;SK041C527807;Sobos;Sobos;Sobos
1942;SK041C527831;Strocin;Strocin;Strocin
1943;SK041C527858;Svidnicka;Svidnicka;Svidnicka
1944;SK041C527874;Sarbov;Sarbov;Sarbov
1945;SK041C527882;Sarissky Stiavnik;Sarissky Stiavnik;Sarissky Stiavnik
1946;SK041C527891;Semetkovce;Semetkovce;Semetkovce
1947;SK041C527904;Stefurov;Stefurov;Stefurov
1948;SK041C527947;Vagrinec;Vagrinec;Vagrinec
1949;SK041C527955;Valkovce;Valkovce;Valkovce
1950;SK041C527963;Vapenik;Vapenik;Vapenik
1951;SK041C528030;Vysna Jedlova;Vysna Jedlova;Vysna Jedlova
1952;SK041C528056;Vysna Pisana;Vysna Pisana;Vysna Pisana
1953;SK041C528064;Vysny Komarnik;Vysny Komarnik;Vysny Komarnik
1954;SK041C528072;Vysny Mirosov;Vysny Mirosov;Vysny Mirosov
1955;SK041C528081;Vysny Orlik;Vysny Orlik;Vysny Orlik
1956;SK041C580601;Dukovce;Dukovce;Dukovce
1957;SK041D528731;Holcikovce;Holcikovce;Holcikovce
1958;SK041D528749;Jasenovce;Jasenovce;Jasenovce
1959;SK041D528757;Jastrabie nad Toplou;Jastrabie nad Toplou;Jastrabie nad Toplou
1960;SK041D528765;Juskova Vola;Juskova Vola;Juskova Vola
1961;SK041D528773;Kamenna Poruba;Kamenna Poruba;Kamenna Poruba
1962;SK041D528781;Kladzany;Kladzany;Kladzany
1963;SK041D528790;Komarany;Komarany;Komarany
1964;SK041D528811;Kucin;Kucin;Kucin
1965;SK041D528820;Kvakovce;Kvakovce;Kvakovce
1966;SK041D528838;Majerovce;Majerovce;Majerovce
1967;SK041D528846;Mala Domasa;Mala Domasa;Mala Domasa
1968;SK041D528854;Matiaska;Matiaska;Matiaska
1969;SK041D528862;Medzianky;Medzianky;Medzianky
1970;SK041D528871;Mernik;Mernik;Mernik
1971;SK041D528889;Michalok;Michalok;Michalok
1972;SK041D528901;Nizny Hrabovec;Nizny Hrabovec;Nizny Hrabovec
1973;SK041D528919;Nizny Hrusov;Nizny Hrusov;Nizny Hrusov
1974;SK041D528927;Nizny Krucov;Nizny Krucov;Nizny Krucov
1975;SK041D528935;Nova Kelca;Nova Kelca;Nova Kelca
1976;SK041D528943;Ondavske Matiasovce;Ondavske Matiasovce;Ondavske Matiasovce
1977;SK041D528960;Pavlovce;Pavlovce;Pavlovce
1978;SK041D528978;Petkovce;Petkovce;Petkovce
1979;SK041D528986;Petrovce;Petrovce;Petrovce
1980;SK041D528994;Piskorovce;Piskorovce;Piskorovce
1981;SK041D529001;Posa;Posa;Posa
1982;SK041D529028;Prosacov;Prosacov;Prosacov
1983;SK041D529036;Radvanovce;Radvanovce;Radvanovce
1984;SK041D529044;Rafajovce;Rafajovce;Rafajovce
1985;SK041D529052;Remeniny;Remeniny;Remeniny
1986;SK041D529079;Rudlov;Rudlov;Rudlov
1987;SK041D529109;Ruska Vola;Ruska Vola;Ruska Vola
1988;SK041D529117;Vysny Kazimir;Vysny Kazimir;Vysny Kazimir
1989;SK041D529125;Sacurov;Sacurov;Sacurov
1990;SK041D529133;Secovska Polianka;Secovska Polianka;Secovska Polianka
1991;SK041D529141;Sedliska;Sedliska;Sedliska
1992;SK041D529150;Skrabske;Skrabske;Skrabske
1993;SK041D529168;Slovenska Kajna;Slovenska Kajna;Slovenska Kajna
1994;SK041D529176;Sol;Sol;Sol
1995;SK041D529184;Stefanovce;Stefanovce;Stefanovce
1996;SK041D529192;Tovarne;Tovarne;Tovarne
1997;SK041D529206;Tovarnianska Polianka;Tovarnianska Polianka;Tovarnianska Polianka
1998;SK041D529214;Vavrinec;Vavrinec;Vavrinec
1999;SK041D529222;Vechec;Vechec;Vechec
2000;SK041D529231;Vlaca;Vlaca;Vlaca
2001;SK041D529257;Vysny Zipov;Vysny Zipov;Vysny Zipov
2002;SK041D529265;Zamutov;Zamutov;Zamutov
2003;SK041D529281;Zlatnik;Zlatnik;Zlatnik
2004;SK041D529290;Zalobin;Zalobin;Zalobin
2005;SK041D544051;Vranov nad Toplou;Vranov nad Toplou;Vranov nad Toplou
2006;SK041D544060;Babie;Babie;Babie
2007;SK041D544078;Banske;Banske;Banske
2008;SK041D544086;Benkovce;Benkovce;Benkovce
2009;SK041D544094;Bystre;Bystre;Bystre
2010;SK041D544108;Cabov;Cabov;Cabov
2011;SK041D544116;Caklov;Caklov;Caklov
2012;SK041D544124;Cicava;Cicava;Cicava
2013;SK041D544132;Cierne nad Toplou;Cierne nad Toplou;Cierne nad Toplou
2014;SK041D544141;Dapalovce;Dapalovce;Dapalovce
2015;SK041D544159;Davidov;Davidov;Davidov
2016;SK041D544167;Detrik;Detrik;Detrik
2017;SK041D544175;Dlhe Klcovo;Dlhe Klcovo;Dlhe Klcovo
2018;SK041D544183;Durdos;Durdos;Durdos
2019;SK041D544191;Giglovce;Giglovce;Giglovce
2020;SK041D544205;Girovce;Girovce;Girovce
2021;SK041D544213;Hanusovce nad Toplou;Hanusovce nad Toplou;Hanusovce nad Toplou
2022;SK041D544221;Hermanovce nad Toplou;Hermanovce nad Toplou;Hermanovce nad Toplou
2023;SK041D544230;Hlinne;Hlinne;Hlinne
2024;SK041D581674;Hencovce;Hencovce;Hencovce
2025;SK0411518964;Vaniskovce;Vaniskovce;Vaniskovce
2026;SK0411519006;Bardejov;Bardejov;Bardejov
2027;SK0411519014;Abrahamovce;Abrahamovce;Abrahamovce
2028;SK0411519022;Andrejova;Andrejova;Andrejova
2029;SK0411519049;Bartosovce;Bartosovce;Bartosovce
2030;SK0411519057;Becherov;Becherov;Becherov
2031;SK0411519065;Beloveza;Beloveza;Beloveza
2032;SK0411519073;Bogliarka;Bogliarka;Bogliarka
2033;SK0411519081;Brezov;Brezov;Brezov
2034;SK0411519090;Brezovka;Brezovka;Brezovka
2035;SK0411519103;Buclovany;Buclovany;Buclovany
2036;SK0411519111;Cigelka;Cigelka;Cigelka
2037;SK0411519138;Dubinne;Dubinne;Dubinne
2038;SK0411519154;Fricka;Fricka;Fricka
2039;SK0411519162;Frickovce;Frickovce;Frickovce
2040;SK0411519171;Gaboltov;Gaboltov;Gaboltov
2041;SK0411519189;Gerlachov;Gerlachov;Gerlachov
2042;SK0411519201;Hankovce;Hankovce;Hankovce
2043;SK0411519219;Harhaj;Harhaj;Harhaj
2044;SK0411519227;Hazlin;Hazlin;Hazlin
2045;SK0411519235;Hertnik;Hertnik;Hertnik
2046;SK0411519243;Hervartov;Hervartov;Hervartov
2047;SK0411519251;Hrabovec;Hrabovec;Hrabovec
2048;SK0411519260;Hrabske;Hrabske;Hrabske
2049;SK0411519278;Hutka;Hutka;Hutka
2050;SK0411519286;Chmelova;Chmelova;Chmelova
2051;SK0411519294;Janovce;Janovce;Janovce
2052;SK0411519308;Jedlinka;Jedlinka;Jedlinka
2053;SK0411519324;Klusov;Klusov;Klusov
2054;SK0411519341;Kobyly;Kobyly;Kobyly
2055;SK0411519359;Kochanovce;Kochanovce;Kochanovce
2056;SK0411519367;Komarov;Komarov;Komarov
2057;SK0411519375;Koprivnica;Koprivnica;Koprivnica
2058;SK0411519383;Kozany;Kozany;Kozany
2059;SK0411519405;Krive;Krive;Krive
2060;SK0411519413;Krize;Krize;Krize
2061;SK0411519421;Kruzlov;Kruzlov;Kruzlov
2062;SK0411519430;Kucin;Kucin;Kucin
2063;SK0411519456;Kurima;Kurima;Kurima
2064;SK0411519464;Kurov;Kurov;Kurov
2065;SK0411519472;Lascov;Lascov;Lascov
2066;SK0411519481;Lenartov;Lenartov;Lenartov
2067;SK0411519499;Lipova;Lipova;Lipova
2068;SK0411519502;Livov;Livov;Livov
2069;SK0411519511;Livovska Huta;Livovska Huta;Livovska Huta
2070;SK0411519529;Lopuchov;Lopuchov;Lopuchov
2071;SK0411519545;Lukavica;Lukavica;Lukavica
2072;SK0411519553;Lukov;Lukov;Lukov
2073;SK0411519570;Malcov;Malcov;Malcov
2074;SK0411519588;Marhan;Marhan;Marhan
2075;SK0411519600;Mikulasova;Mikulasova;Mikulasova
2076;SK0411519618;Mokroluh;Mokroluh;Mokroluh
2077;SK0411519626;Nemcovce;Nemcovce;Nemcovce
2078;SK0411519634;Nizna Polianka;Nizna Polianka;Nizna Polianka
2079;SK0411519642;Nizna Vola;Nizna Vola;Nizna Vola
2080;SK0411519669;Nizny Tvarozec;Nizny Tvarozec;Nizny Tvarozec
2081;SK0411519677;Olsavce;Olsavce;Olsavce
2082;SK0411519685;Ondavka;Ondavka;Ondavka
2083;SK0411519693;Ortutova;Ortutova;Ortutova
2084;SK0411519707;Osikov;Osikov;Osikov
2085;SK0411519715;Petrova;Petrova;Petrova
2086;SK0411519723;Poliakovce;Poliakovce;Poliakovce
2087;SK0411519731;Porubka;Porubka;Porubka
2088;SK0411519740;Regetovka;Regetovka;Regetovka
2089;SK0411519758;Resov;Resov;Resov
2090;SK0411519766;Richvald;Richvald;Richvald
2091;SK0411519774;Rokytov;Rokytov;Rokytov
2092;SK0411519782;Smilno;Smilno;Smilno
2093;SK0411519791;Snakov;Snakov;Snakov
2094;SK0411519804;Stebnicka Huta;Stebnicka Huta;Stebnicka Huta
2095;SK0411519812;Stebnik;Stebnik;Stebnik
2096;SK0411519821;Stulany;Stulany;Stulany
2097;SK0411519839;Sverzov;Sverzov;Sverzov
2098;SK0411519847;Sarisske Cierne;Sarisske Cierne;Sarisske Cierne
2099;SK0411519855;Sasova;Sasova;Sasova
2100;SK0411519863;Siba;Siba;Siba
2101;SK0411519871;Tarnov;Tarnov;Tarnov
2102;SK0411519880;Trocany;Trocany;Trocany
2103;SK0411519901;Varadka;Varadka;Varadka
2104;SK0411519910;Vysna Polianka;Vysna Polianka;Vysna Polianka
2105;SK0411519928;Vysna Vola;Vysna Vola;Vysna Vola
2106;SK0411519936;Raslavice;Raslavice;Raslavice
2107;SK0411519944;Vysny Krucov;Vysny Krucov;Vysny Krucov
2108;SK0411519952;Vysny Tvarozec;Vysny Tvarozec;Vysny Tvarozec
2109;SK0411519961;Zborov;Zborov;Zborov
2110;SK0411519979;Zlate;Zlate;Zlate
2111;SK0412518638;Valaskovce (vojensky obvod);Valaskovce;Valaskovce (voj.obvod)
2112;SK0412520004;Humenne;Humenne;Humenne
2113;SK0412520012;Adidovce;Adidovce;Adidovce
2114;SK0412520021;Baskovce;Baskovce;Baskovce
2115;SK0412520055;Brekov;Brekov;Brekov
2116;SK0412520063;Brestov;Brestov;Brestov
2117;SK0412520110;Cernina;Cernina;Cernina
2118;SK0412520152;Dedacov;Dedacov;Dedacov
2119;SK0412520195;Hankovce;Hankovce;Hankovce
2120;SK0412520225;Hrabovec nad Laborcom;Hrabovec nad Laborcom;Hrabovec nad Laborcom
2121;SK0412520233;Hrubov;Hrubov;Hrubov
2122;SK0412520241;Hudcovce;Hudcovce;Hudcovce
2123;SK0412520250;Rokytov pri Humennom;Rokytov pri Humennom;Rokytov pri Humennom
2124;SK0412520268;Chlmec;Chlmec;Chlmec
2125;SK0412520276;Jablon;Jablon;Jablon
2126;SK0412520292;Jankovce;Jankovce;Jankovce
2127;SK0412520331;Kamenica nad Cirochou;Kamenica nad Cirochou;Kamenica nad Cirochou
2128;SK0412520349;Kamienka;Kamienka;Kamienka
2129;SK0412520357;Karna;Karna;Karna
2130;SK0412520373;Kochanovce;Kochanovce;Kochanovce
2131;SK0412520403;Koskovce;Koskovce;Koskovce
2132;SK0412520446;Lieskovec;Lieskovec;Lieskovec
2133;SK0412520454;Lubisa;Lubisa;Lubisa
2134;SK0412520462;Lukacovce;Lukacovce;Lukacovce
2135;SK0412520497;Modra nad Cirochou;Modra nad Cirochou;Modra nad Cirochou
2136;SK0412520501;Myslina;Myslina;Myslina
2137;SK0412520527;Nechvalova Polianka;Nechvalova Polianka;Nechvalova Polianka
2138;SK0412520535;Nizna Jablonka;Nizna Jablonka;Nizna Jablonka
2139;SK0412520543;Nizne Ladickovce;Nizne Ladickovce;Nizne Ladickovce
2140;SK0412520560;Ohradzany;Ohradzany;Ohradzany
2141;SK0412520624;Papin;Papin;Papin
2142;SK0412520667;Porubka;Porubka;Porubka
2143;SK0412520683;Pticie;Pticie;Pticie
2144;SK0412520721;Rovne;Rovne;Rovne
2145;SK0412520772;Slovenska Volova;Slovenska Volova;Slovenska Volova
2146;SK0412520781;Slovenske Krive;Slovenske Krive;Slovenske Krive
2147;SK0412520896;Topolovka;Topolovka;Topolovka
2148;SK0412520900;Turcovce;Turcovce;Turcovce
2149;SK0412520926;Udavske;Udavske;Udavske
2150;SK0412520977;Velopolie;Velopolie;Velopolie
2151;SK0412520985;Vitazovce;Vitazovce;Vitazovce
2152;SK0412521019;Vysna Jablonka;Vysna Jablonka;Vysna Jablonka
2153;SK0412521027;Vysne Ladickovce;Vysne Ladickovce;Vysne Ladickovce
2154;SK0412521035;Vysny Hrusov;Vysny Hrusov;Vysny Hrusov
2155;SK0412521043;Zavadka;Zavadka;Zavadka
