sortNumber;code;officialTitle;mediumTitle;shortTitle
1361;SK032B518204;Budca;Budca;Budca
1362;SK032B518221;Bzovska Lehotka;Bzovska Lehotka;Bzovska Lehotka
1363;SK032B518298;Dobra Niva;Dobra Niva;Dobra Niva
1364;SK032B518361;Dubove;Dubove;Dubove
1365;SK032B518476;Hronska Breznica;Hronska Breznica;Hronska Breznica
1366;SK032B518506;Kovacova;Kovacova;Kovacova
1367;SK032B518581;Lest (vojensky obvod);Lest;Lest (voj.obvod)
1368;SK032B518654;Michalkova;Michalkova;Michalkova
1369;SK032B518662;Ocova;Ocova;Ocova
1370;SK032B518671;Ostra Luka;Ostra Luka;Ostra Luka
1371;SK032B518689;Pliesovce;Pliesovce;Pliesovce
1372;SK032B518697;Podzamcok;Podzamcok;Podzamcok
1373;SK032B518727;Sasa;Sasa;Sasa
1374;SK032B518760;Sielnica;Sielnica;Sielnica
1375;SK032B518808;Sliac;Sliac;Sliac
1376;SK032B518875;Trnie;Trnie;Trnie
1377;SK032B518891;Turova;Turova;Turova
1378;SK032B518972;Zvolenska Slatina;Zvolenska Slatina;Zvolenska Slatina
1379;SK032B518981;Zelezna Breznica;Zelezna Breznica;Zelezna Breznica
1380;SK032B558087;Lukavica;Lukavica;Lukavica
1381;SK032B558133;Lieskovec;Lieskovec;Lieskovec
1382;SK032B581585;Velka Luka;Velka Luka;Velka Luka
1383;SK032C516759;Hodrusa-Hamre;Hodrusa-Hamre;Hodrusa-Hamre
1384;SK032C516805;Horne Hamre;Horne Hamre;Horne Hamre
1385;SK032C516813;Hrabicov;Hrabicov;Hrabicov
1386;SK032C516830;Hronsky Benadik;Hronsky Benadik;Hronsky Benadik
1387;SK032C516902;Klak;Klak;Klak
1388;SK032C517062;Mala Lehota;Mala Lehota;Mala Lehota
1389;SK032C517097;Nova Bana;Nova Bana;Nova Bana
1390;SK032C517119;Ostry Grun;Ostry Grun;Ostry Grun
1391;SK032C517127;Pila;Pila;Pila
1392;SK032C517232;Rudno nad Hronom;Rudno nad Hronom;Rudno nad Hronom
1393;SK032C517291;Tekovska Breznica;Tekovska Breznica;Tekovska Breznica
1394;SK032C517330;Velka Lehota;Velka Lehota;Velka Lehota
1395;SK032C517348;Velke Pole;Velke Pole;Velke Pole
1396;SK032C517356;Voznica;Voznica;Voznica
1397;SK032C517381;Zarnovica;Zarnovica;Zarnovica
1398;SK032C517399;Zupkov;Zupkov;Zupkov
1399;SK032C580546;Orovnica;Orovnica;Orovnica
1400;SK032C581607;Brehy;Brehy;Brehy
1401;SK032D516589;Ziar nad Hronom;Ziar nad Hronom;Ziar nad Hronom
1402;SK032D516660;Bartosova Lehotka;Bartosova Lehotka;Bartosova Lehotka
1403;SK032D516708;Bzenica;Bzenica;Bzenica
1404;SK032D516724;Dolna Trnavka;Dolna Trnavka;Dolna Trnavka
1405;SK032D516732;Dolna Ves;Dolna Ves;Dolna Ves
1406;SK032D516741;Dolna Zdana;Dolna Zdana;Dolna Zdana
1407;SK032D516767;Hlinik nad Hronom;Hlinik nad Hronom;Hlinik nad Hronom
1408;SK032D516791;Horna Zdana;Horna Zdana;Horna Zdana
1409;SK032D516821;Hronska Dubrava;Hronska Dubrava;Hronska Dubrava
1410;SK032D516848;Ihrac;Ihrac;Ihrac
1411;SK032D516872;Janova Lehota;Janova Lehota;Janova Lehota
1412;SK032D516881;Jastraba;Jastraba;Jastraba
1413;SK032D516937;Kopernica;Kopernica;Kopernica
1414;SK032D516945;Kosorin;Kosorin;Kosorin
1415;SK032D516961;Krahule;Krahule;Krahule
1416;SK032D516970;Kremnica;Kremnica;Kremnica
1417;SK032D516988;Kremnicke Bane;Kremnicke Bane;Kremnicke Bane
1418;SK032D516996;Kunesov;Kunesov;Kunesov
1419;SK032D517011;Lehotka pod Brehmi;Lehotka pod Brehmi;Lehotka pod Brehmi
1420;SK032D517020;Lovca;Lovca;Lovca
1421;SK032D517038;Lovcica-Trubin;Lovcica-Trubin;Lovcica-Trubin
1422;SK032D517046;Lucky;Lucky;Lucky
1423;SK032D517089;Nevolne;Nevolne;Nevolne
1424;SK032D517135;Pitelova;Pitelova;Pitelova
1425;SK032D517186;Prestavlky;Prestavlky;Prestavlky
1426;SK032D517194;Prochot;Prochot;Prochot
1427;SK032D517216;Repiste;Repiste;Repiste
1428;SK032D517241;Sklene Teplice;Sklene Teplice;Sklene Teplice
1429;SK032D517259;Slaska;Slaska;Slaska
1430;SK032D517267;Stara Kremnicka;Stara Kremnicka;Stara Kremnicka
1431;SK032D517313;Trnava Hora;Trnava Hora;Trnava Hora
1432;SK032D517364;Vyhne;Vyhne;Vyhne
1433;SK032D581747;Horna Ves;Horna Ves;Horna Ves
1434;SK032D599328;Ladomerska Vieska;Ladomerska Vieska;Ladomerska Vieska
1435;SK032D599336;Lutila;Lutila;Lutila
1436;SK0321508438;Banska Bystrica;Banska Bystrica;Banska Bystrica
1437;SK0321508454;Badin;Badin;Badin
1438;SK0321508471;Balaze;Balaze;Balaze
1439;SK0321508519;Cerin;Cerin;Cerin
1440;SK0321508543;Dolna Micina;Dolna Micina;Dolna Micina
1441;SK0321508551;Dolny Harmanec;Dolny Harmanec;Dolny Harmanec
1442;SK0321508560;Donovaly;Donovaly;Donovaly
1443;SK0321508586;Dubravica;Dubravica;Dubravica
1444;SK0321508594;Harmanec;Harmanec;Harmanec
1445;SK0321508616;Hiadel;Hiadel;Hiadel
1446;SK0321508632;Horna Micina;Horna Micina;Horna Micina
1447;SK0321508641;Horne Prsany;Horne Prsany;Horne Prsany
1448;SK0321508659;Hrochot;Hrochot;Hrochot
1449;SK0321508675;Brusno;Brusno;Brusno
1450;SK0321508713;Kordiky;Kordiky;Kordiky
1451;SK0321508721;Kraliky;Kraliky;Kraliky
